 latitude longitude depth year month day hour minute second magnitude
 31.123801  103.350192    15.894   2008  5 13  1 59 22.220 3.7 
 31.572020  104.030167    16.869   2008  5 13  2 15 19.800 4.8 
 31.362343  103.887267    15.217   2008  5 13  2 28 14.530 4.2 
 31.235363  103.599882    19.951   2008  5 13  2 33 41.440 4.7 
 31.023578  103.433089    32.127   2008  5 13  2 39  8.610 3.1 
 31.325390  103.886678    15.204   2008  5 13  2 44 35.080 4.1 
 30.967046  103.337898    14.520   2008  5 13  2 59 34.400 4.6 
 31.213960  103.556573    11.171   2008  5 13  3  0 40.740 5.1 
 31.218390  103.634892    18.643   2008  5 13  3  9 57.170 4.2 
 30.960845  103.368364    11.142   2008  5 13  3 36 57.480 4.0 
 31.276258  103.742380    17.475   2008  5 13  3 48 47.700 4.8 
 31.126056  103.489742    13.874   2008  5 13  5 10 25.550 3.5 
 32.415810  105.217516    22.441   2008  5 13  5 36 33.760 4.9 
 31.345628  103.317047    20.551   2008  5 13  6 26 40.840 3.7 
 32.111199  104.627134    13.583   2008  5 13  6 35 38.040 4.4 
 30.903471  103.160649    16.856   2008  5 13  7  7 10.260 6.2 
 31.658682  104.112984    16.939   2008  5 13  7 32  7.390 3.2 
 31.285964  103.639637    14.714   2008  5 13  7 36 43.180 3.9 
 32.295460  104.923397    16.127   2008  5 13  7 53  3.960 5.0 
 32.274739  104.944598    15.688   2008  5 13  7 53  4.680 5.2 
 31.693677  104.100194     9.112   2008  5 13  7 57 35.080 3.4 
 31.377692  103.905245    18.761   2008  5 13  8 20 54.310 5.2 
 31.254791  103.631055    14.389   2008  5 13  8 44  3.080 3.2 
 31.269337  103.657638    20.211   2008  5 13  8 49 37.080 2.9 
 31.793737  104.460540     9.465   2008  5 13  9 19 12.820 3.5 
 30.844450  103.280750    15.592   2008  5 13  9 36  2.830 3.5 
 30.976356  103.346896    14.740   2008  5 13  9 39 45.030 3.5 
 32.043393  104.440633    15.134   2008  5 13  9 41 21.330 4.4 
 31.721365  104.286559    11.584   2008  5 13 10 16  7.970 5.1 
 31.724413  104.294927    14.080   2008  5 13 10 16  7.900 4.5 
 31.864888  104.299369    12.574   2008  5 13 10 20 17.260 4.5 
 31.261014  103.660722    19.226   2008  5 13 10 36 43.620 4.7 
 31.264590  103.649881    17.962   2008  5 13 10 36 43.580 4.6 
 31.590482  103.995532    18.969   2008  5 13 12 18 59.200 3.3 
 31.163054  103.443348    13.963   2008  5 13 12 34  3.260 3.4 
 31.128220  103.455241    15.629   2008  5 13 12 34  3.650 3.4 
 32.263814  105.036013    17.177   2008  5 13 13 31 36.650 4.9 
 31.127469  103.419787    14.299   2008  5 13 15  0 15.010 3.5 
 31.102605  103.408049    15.735   2008  5 13 15  0 15.080 3.2 
 31.792577  104.301783     6.765   2008  5 13 15  1 25.110 3.2 
 31.254489  103.576339    16.885   2008  5 13 15 19 15.340 3.4 
 31.894050  104.375796    16.606   2008  5 13 15 26 28.850 3.7 
 32.226549  104.905292    16.865   2008  5 13 15 38 25.870 3.6 
 31.126289  103.511757    12.582   2008  5 13 15 44  3.910 3.2 
 30.930801  103.190795    17.796   2008  5 13 15 55  7.230 3.5 
 30.955902  103.195918    16.468   2008  5 13 15 55  7.130 3.7 
 31.264545  103.796862    16.135   2008  5 13 15 59 13.270 3.8 
 31.246707  103.810411    17.072   2008  5 13 15 59 13.600 3.9 
 31.442825  104.292865    22.976   2008  5 13 16 12 31.450 4.0 
 31.893849  104.344196    17.759   2008  5 13 16 37 57.350 4.0 
 31.833562  104.298236    17.581   2008  5 13 16 58 53.210 3.3 
 31.146524  103.325557    20.327   2008  5 13 17 41 48.230 3.9 
 32.086074  104.609642    19.859   2008  5 13 18 10  5.550 4.3 
 30.941536  103.258767    15.978   2008  5 13 19 51 54.620 4.6 
 31.819963  104.275414    10.487   2008  5 13 20 25 44.830 3.9 
 31.799735  104.303855    13.320   2008  5 13 20 25 45.040 4.1 
 31.221363  103.556467    23.017   2008  5 13 20 42 38.410 3.5 
 31.103579  103.456479    19.043   2008  5 13 20 50 33.750 4.5 
 31.484367  104.035780    17.304   2008  5 13 20 57 30.480 3.8 
 31.380929  103.802932    19.201   2008  5 13 21 27 55.290 3.4 
 31.176157  103.489080    17.005   2008  5 13 21 58 22.550 2.8 
 31.236610  103.623521    19.040   2008  5 13 22  3 33.420 4.6 
 31.287205  103.553791     5.562   2008  5 13 22 17 22.870 3.5 
 31.303500  103.794672    18.271   2008  5 13 22 50 52.940 3.1 
 31.203064  103.617260    28.375   2008  5 13 23 19 42.030 3.0 
 31.440109  103.983330    18.566   2008  5 13 23 51 53.720 3.7 
 31.006602  103.431128    15.500   2008  5 14  0  8 14.730 4.9 
 31.333332  103.567091     8.686   2008  5 14  0 13 19.710 3.5 
 31.384694  103.882240    16.327   2008  5 14  1  9 22.540 4.7 
 31.230741  103.568572    17.789   2008  5 14  1 56 42.830 4.6 
 31.257307  103.541237    16.052   2008  5 14  1 56 42.820 4.8 
 31.296476  103.561082    19.772   2008  5 14  2  7 57.410 4.1 
 31.246313  103.585735    17.450   2008  5 14  2 34 32.820 3.3 
 30.993759  103.344135    12.253   2008  5 14  2 42 43.670 3.1 
 31.249561  103.527656    15.277   2008  5 14  2 45 40.610 3.9 
 31.228653  103.696442    15.994   2008  5 14  2 48 19.880 3.2 
 31.335590  103.368601    17.331   2008  5 14  2 54 38.730 5.7 
 30.932728  103.207081    18.607   2008  5 14  3  7 49.290 4.5 
 32.382047  105.137969    11.392   2008  5 14  5 27 28.960 4.1 
 31.396431  103.938513    17.903   2008  5 14  6 30 11.470 3.0 
 31.352679  103.979150    16.809   2008  5 14  6 33 57.980 4.4 
 30.903875  103.170745    15.846   2008  5 14  6 46 56.750 3.1 
 31.054379  103.378304    14.565   2008  5 14  6 58  6.270 3.1 
 32.380104  105.101309    16.747   2008  5 14  7 59  8.880 3.7 
 32.324696  105.047242    22.673   2008  5 14  8  1 21.070 3.3 
 31.341982  103.979629    14.902   2008  5 14  8 18 46.780 4.1 
 31.422673  103.871879    18.437   2008  5 14  8 39 41.950 3.4 
 30.883759  103.157930    20.271   2008  5 14  8 41 23.130 3.6 
 31.153697  103.396099    20.284   2008  5 14  8 42 50.620 3.4 
 31.207870  103.473480    19.314   2008  5 14  8 46 37.970 3.0 
 31.536645  103.984148    15.324   2008  5 14  8 49 45.940 2.9 
 30.941956  103.301808     9.962   2008  5 14  8 51 12.150 3.1 
 30.931391  103.391168    17.265   2008  5 14  8 57 27.320 4.1 
