 year month day hour minute second magnitude latitude longitude depth 
 2008  5 14 14  2 17.260    4.1    31.164170  103.297700    17.3 
 2008  5 14 16 57 25.340    4.1    30.994320  103.384000    13.3 
 2008  5 14 17 26 43.490    5.5    31.442770  103.898900    16.1 
 2008  5 14 17 51 19.090    3.9    31.193090  103.677800    13.9 
 2008  5 14 18 18 13.500    3.9    30.922240  103.161500    16.3 
 2008  5 14 19  9 44.190    3.6    31.475440  103.809300    16.2 
 2008  5 14 19 14  7.390    3.5    31.013100  103.289900    10.2 
 2008  5 14 19 22 40.910    3.8    30.997470  103.387700    12.2 
 2008  5 14 19 25 25.660    4.2    31.382980  103.452900    14.1 
 2008  5 14 21  9 54.960    3.1    32.593810  105.270500    14.7 
 2008  5 14 21 16 21.570    4.1    31.548260  103.155900    15.4 
 2008  5 14 21 27 17.320    4.1    32.537410  105.226500    14.4 
 2008  5 14 21 29 42.160    4.8    32.383690  105.064400    10.9 
 2008  5 14 21 33 39.940    3.2    30.995810  103.351600    14.1 
 2008  5 14 21 35  9.090    3.9    31.262400  103.570400    15.7 
 2008  5 14 21 43 49.240    3.9    31.465580  103.806900    14.5 
 2008  5 15  0 11 55.300    3.9    32.125000  104.610600     8.9 
 2008  5 15  0 25 41.250    3.0    31.012310  103.375800     9.9 
 2008  5 15  0 28 25.110    3.4    32.179450  104.605900    12.3 
 2008  5 15  0 37 14.610    3.8    31.275560  103.475700    14.0 
 2008  5 15  0 56  9.350    3.2    31.779960  104.277900    10.6 
 2008  5 15  3 12 36.300    3.2    31.293740  103.773100    11.9 
 2008  5 15  3 41 47.910    3.2    30.940240  103.263900    13.8 
 2008  5 15  3 48 12.280    3.3    30.987960  103.223300    16.6 
 2008  5 15  3 49 35.080    3.7    32.170570  104.595300    15.9 
 2008  5 15  3 51 42.580    3.2    31.282870  103.497500     7.5 
 2008  5 15  3 59   .610    4.4    31.093380  103.505100    12.8 
 2008  5 15  4 21 57.290    3.5    31.678610  104.048100    18.0 
 2008  5 15  5  1  5.540    5.3    31.741360  104.109300    18.4 
 2008  5 15  6 10  9.110    5.0    31.251970  103.601200    13.9 
 2008  5 15  6 33   .730    3.3    31.280970  103.552900    15.5 
 2008  5 15  6 39 49.180    3.6    31.343500  103.780000    16.4 
 2008  5 15  7 43 15.690    3.2    31.275930  103.357400    13.3 
 2008  5 15  8  3 28.230    3.4    31.320880  103.798400    15.5 
 2008  5 15  8  7 29.350    3.7    32.193130  104.761900    10.7 
 2008  5 15  8  9 28.340    4.5    31.858410  104.331400    10.6 
 2008  5 15  8 23 55.970    3.1    31.197890  103.515600    13.1 
 2008  5 15  8 39 41.240    4.0    31.069550  103.391500    13.3 
 2008  5 15  8 50 17.890    4.2    31.350460  103.414000    15.7 
 2008  5 15 12 27 29.030    4.4    31.313060  103.715200    15.6 
 2008  5 15 12 57 22.010    3.8    31.543600  103.146500    15.1 
 2008  5 15 14 30 53.880    3.6    31.047650  103.273000    13.8 
 2008  5 15 15 44 13.140    3.2    31.536180  104.044400    16.9 
 2008  5 15 17 40 40.620    3.4    30.999940  103.361500    12.4 
 2008  5 15 18 24 15.210    3.1    31.535690  104.028200    13.8 
 2008  5 15 18 32 29.120    3.8    31.434210  103.827300    12.3 
 2008  5 15 18 34 52.190    3.6    31.216110  103.666600    12.0 
 2008  5 15 18 44 45.670    4.0    32.563690  105.192800    11.9 
 2008  5 15 19  0 49.900    3.1    32.245350  104.935800    12.4 
 2008  5 15 19 19  8.290    3.1    30.916800  103.231600    16.8 
 2008  5 15 19 49 35.970    3.9    31.451360  103.915800    15.2 
 2008  5 15 20  6 54.010    3.5    31.604050  104.087300    17.5 
 2008  5 15 21 54 44.300    3.9    32.285360  104.832300    19.5 
 2008  5 15 22 18 38.150    3.5    31.315770  103.557400    12.4 
 2008  5 15 22 57 31.090    3.9    31.357470  103.354800    13.1 
 2008  5 16  0  6 55.250    4.3    32.552100  105.216900    15.5 
 2008  5 16  3 13 40.860    3.5    31.260100  103.649700     6.0 
 2008  5 16  6  2 32.980    4.3    32.264400  104.944700    12.6 
 2008  5 16  6 10 35.000    4.8    31.358080  103.911900    12.7 
 2008  5 16  6 26 26.400    3.3    31.401370  103.894700    14.2 
 2008  5 16  6 30  3.850    3.4    31.206180  103.667700    12.2 
 2008  5 16  6 46 10.140    4.1    31.236590  103.425500     8.8 
 2008  5 16  6 47 39.360    4.1    31.294330  103.402400    13.2 
 2008  5 16 10  1 59.860    3.1    31.513900  103.965700    12.9 
 2008  5 16 10 21 46.320    3.2    31.180460  103.560700    11.8 
 2008  5 16 10 25 15.530    3.4    31.258390  103.740600    17.2 
 2008  5 16 10 34 32.870    3.7    31.732390  104.065700    16.4 
 2008  5 16 14  3  1.580    3.3    32.419680  105.046000    11.1 
 2008  5 16 16 31 44.400    3.1    31.321790  103.809400    14.6 
 2008  5 16 17 38 23.940    3.6    31.398770  103.839900    15.6 
 2008  5 16 18 32 41.220    3.3    31.308340  103.711600    15.9 
 2008  5 16 18 41 36.030    3.5    31.225980  103.620700    12.3 
 2008  5 16 18 51 44.330    4.7    31.331490  103.633400    16.7 
 2008  5 16 19 18 56.830    3.3    31.453890  103.924700    15.7 
 2008  5 16 19 35 13.530    3.4    31.413480  104.176100    10.0 
 2008  5 16 19 54 18.210    3.0    32.301550  105.003300    15.2 
 2008  5 16 19 56 53.910    3.1    31.258880  103.474800    11.8 
 2008  5 16 21  6 46.840    3.7    31.662650  104.067200    12.2 
 2008  5 16 21 21 10.580    4.2    31.931080  104.225300    15.6 
 2008  5 16 21 31 30.610    3.3    31.496420  103.922100    13.9 
 2008  5 16 23 21  5.400    3.8    31.453160  103.846100    13.4 
 2008  5 17  0 14 42.400    5.3    31.173530  103.425200    13.0 
 2008  5 17  3  9 21.740    3.2    32.289760  104.945500    14.3 
 2008  5 17  4 16 50.500    5.4    31.298050  103.461700     9.3 
 2008  5 17  4 29  3.150    4.7    31.364400  103.336500    11.8 
 2008  5 17  6 30 39.380    3.4    32.292160  104.925900    21.2 
 2008  5 17  6 33  8.200    4.4    32.309320  104.995700    11.0 
 2008  5 17  6 54 29.530    3.5    31.249230  103.606800    12.6 
 2008  5 17  7  0 24.550    3.8    31.157820  103.745900    15.2 
 2008  5 17 10 45  2.030    3.9    31.072630  103.439800     8.3 
 2008  5 17 11 55  7.770    3.1    31.186610  103.488700     9.0 
 2008  5 17 17 51 44.480    3.6    32.016930  104.379600    14.2 
 2008  5 17 18 48 25.910    4.1    31.599950  104.161500    13.1 
 2008  5 17 20 46 26.760    4.0    31.015260  103.367600    14.2 
 2008  5 17 20 50  5.150    2.7    31.152390  103.424000    11.1 
 2008  5 17 21  6 48.170    2.8    31.040720  103.348600    12.2 
 2008  5 17 21 25 32.480     .0    32.547050  105.259600    13.8 
 2008  5 17 21 32 13.940    4.7    32.132250  104.639400    16.4 
 2008  5 17 22  9  9.370     .0    31.226220  103.481500     7.8 
 2008  5 17 22 13 58.450    3.5    31.187310  103.479400    12.7 
 2008  5 17 22 55 54.650     .0    31.896520  104.382800     9.2 
 2008  5 17 23 10  2.480     .0    31.173380  103.571000    12.8 
 2008  5 17 23 32 59.630    3.6    31.793040  104.271200    16.6 
 2008  5 17 23 36 29.260    3.5    30.985080  103.378700    14.0 
 2008  5 18  0 22 54.600    3.0    32.211300  104.599500    15.2 
 2008  5 18  0 29  3.560    4.1    31.550020  104.008400    13.5 
 2008  5 18  0 47  3.690    3.9    31.358560  103.181000    10.6 
 2008  5 18  1  4 39.200    4.4    31.394330  103.315600    15.2 
 2008  5 18  1  8 26.410     .0    32.273590  104.893700    15.0 
 2008  5 18  1 22 25.880    3.2    31.128920  103.377500    14.7 
 2008  5 18  1 38 27.590    3.3    32.344090  104.986500    15.8 
 2008  5 18  2  1  5.870    3.3    32.679810  105.373500    13.8 
 2008  5 18  2 16 22.710    3.9    32.252560  104.879200    15.1 
 2008  5 18  2 22 40.380    3.1    32.512120  105.123100    19.9 
 2008  5 18  2 30  6.110    3.0    31.335250  103.469700    13.8 
 2008  5 18  2 33 51.150    3.9    32.261150  104.918800    15.8 
 2008  5 18  2 39  6.980    3.5    32.260710  104.917100    15.7 
 2008  5 18  2 39 24.310    2.8    30.939340  103.284200    15.2 
 2008  5 18  3  8 55.430    3.8    30.936260  103.324000    18.0 
 2008  5 18  3 19   .060    2.9    32.201500  104.583700    13.7 
 2008  5 18  3 20 54.510    3.3    31.182420  103.493600    13.2 
 2008  5 18  3 25 55.540    2.9    31.144580  103.496500    12.8 
 2008  5 18  3 38 56.880    2.9    31.699490  104.087600    16.6 
 2008  5 18  3 50 42.640    3.1    31.104170  103.492800    13.6 
 2008  5 18  3 54 44.410    3.5    31.823610  104.329200     9.6 
 2008  5 18  4  0 38.290    3.2    30.993190  103.354800     8.2 
 2008  5 18  4  3 42.500     .0    32.290070  104.954000    13.9 
 2008  5 18  4  5 55.850    2.8    31.862060  104.351200    10.4 
 2008  5 18  4 26  4.030     .0    31.213860  103.445400    11.3 
 2008  5 18  5 16 46.280    3.4    30.899030  103.284800    16.4 
 2008  5 18  6  1 32.900    3.8    32.112000  104.200600    13.1 
 2008  5 18  6  4 15.950    3.5    32.259830  104.918300    15.0 
 2008  5 18  6  9 55.490    3.6    31.536830  103.949800    15.4 
 2008  5 18  6 15 14.730    2.8    32.493070  105.081700    11.3 
 2008  5 18  6 17 11.510     .0    31.265610  103.668600    11.4 
 2008  5 18  6 29 39.710    3.7    32.285230  104.926500    14.8 
 2008  5 18  7  0 30.620    3.1    31.045160  103.395100     9.3 
 2008  5 18  7  3 46.820     .0    31.347200  103.753100    16.2 
 2008  5 18  7 26 29.570    3.2    32.638700  105.285100    17.6 
 2008  5 18  7 41 18.660    3.1    32.525560  105.116600    17.6 
 2008  5 18  7 47  4.180    3.8    32.589390  105.289200    16.4 
 2008  5 18  7 51 59.730    3.1    31.202460  103.591800    10.5 
 2008  5 18  7 59 38.940    3.5    31.570640  104.045200    15.3 
 2008  5 18  9  4 58.010    4.3    31.100030  103.551300    14.6 
 2008  5 18  9 18 50.980    3.1    32.277010  104.955000    13.7 
 2008  5 18  9 41 48.310    4.0    30.952190  103.186000    17.0 
 2008  5 18  9 50 29.240    3.7    32.156530  104.614800    18.1 
 2008  5 18 10 19 50.960    3.9    32.178390  104.593000    13.2 
 2008  5 18 10 30 44.490    2.8    32.258320  104.887900    13.9 
 2008  5 18 10 47 31.620    3.0    32.284070  104.960600    15.7 
 2008  5 18 11  4 46.500    2.8    32.246760  104.698500    11.7 
 2008  5 18 11  9 50.220    3.5    30.957700  103.160900    17.6 
 2008  5 18 11 16 16.650    2.9    32.034240  104.381100    15.4 
 2008  5 18 11 18  3.030    2.9    31.949870  104.261600    16.7 
 2008  5 18 11 23 50.890    3.7    31.189650  103.553900    13.8 
 2008  5 18 11 36 50.010    3.2    30.800120  103.280000    17.7 
 2008  5 18 11 51 43.820     .0    30.975600  103.397500     9.5 
 2008  5 18 13  3 18.520    3.2    31.691210  104.063500     5.5 
 2008  5 18 13 36 35.110    3.1    31.729960  104.204100    12.8 
 2008  5 18 14  1 46.410    3.0    31.919010  104.294900    10.5 
 2008  5 18 14 32 50.670     .0    32.502200  105.069700    16.6 
 2008  5 18 14 48 53.500    3.3    32.642220  105.354500    17.3 
 2008  5 18 15 14 30.140    3.4    31.467220  103.940100    15.3 
 2008  5 18 15 32 59.290    2.8    31.742730  104.230000     5.7 
 2008  5 18 16  7 12.480    2.7    31.015330  103.358900    12.6 
 2008  5 18 16  8 21.850    3.8    31.390800  103.331700    12.0 
 2008  5 18 16 28 15.790    3.2    32.262740  104.899500    15.6 
 2008  5 18 16 33 48.010    3.0    31.224770  103.489100    11.4 
 2008  5 18 16 40 17.040     .0    32.603960  105.367200    13.7 
 2008  5 18 16 55 52.680    4.1    31.407140  103.890500    16.3 
 2008  5 18 17 16 43.160    3.2    30.987540  103.288200    15.7 
 2008  5 18 17 20 21.790    3.4    31.716100  104.076900    14.8 
 2008  5 18 17 22 24.470    3.2    31.040590  103.219800    13.2 
 2008  5 18 17 37 57.650    3.1    31.829510  104.235200    15.3 
 2008  5 18 17 52 42.920     .0    32.780660  105.467400    12.0 
 2008  5 18 18 47  8.970     .0    32.291920  104.883300    13.7 
 2008  5 18 18 53  1.290    3.0    31.941350  104.344500     8.1 
 2008  5 18 20  3 16.460    3.3    31.105110  103.612600    12.5 
 2008  5 18 20  6 50.260    2.9    31.888880  104.357400     9.8 
 2008  5 18 20 35 50.670    3.2    30.958400  103.439800     5.7 
 2008  5 18 20 37  2.310     .0    31.368310  103.190400    14.0 
 2008  5 18 20 41 30.050    3.9    31.321440  103.473900     9.4 
 2008  5 18 20 52 41.530    4.0    31.403120  103.826200    16.7 
 2008  5 18 21 23 39.870     .0    31.786650  104.269400    13.5 
 2008  5 18 21 32 39.160    3.0    31.629600  104.054300    15.0 
 2008  5 18 21 34  8.900    4.1    32.250930  104.896700    15.4 
 2008  5 18 21 40 20.080    2.8    31.290450  103.666100    14.3 
 2008  5 18 21 48 40.210     .0    31.212620  103.478700    11.8 
 2008  5 18 21 50  1.630    3.7    32.365890  105.051900    14.0 
 2008  5 18 21 58 47.420    3.2    32.691860  105.378500    13.9 
 2008  5 18 22  7 14.230    3.0    31.081040  103.504100    11.4 
 2008  5 18 22 14  1.530    2.9    31.184350  103.456200    13.0 
 2008  5 18 22 22 26.620    3.5    31.231110  103.596000    13.4 
 2008  5 18 22 37 24.660    2.9    31.227700  103.603000     9.8 
 2008  5 18 22 38 28.110    3.3    30.955030  103.279200    17.5 
 2008  5 18 23  1 23.710    2.9    31.838240  104.323200    10.8 
 2008  5 18 23  7 27.450    2.8    31.247310  103.460300    11.7 
 2008  5 18 23 34 43.730    3.1    31.033350  103.309600    12.5 
 2008  5 19  0 37 30.100    2.9    31.894890  104.352000    10.2 
 2008  5 19  0 56  4.050    4.1    31.379600  103.910400    14.4 
 2008  5 19  1  8 25.690    3.2    31.237720  103.789100    15.6 
 2008  5 19  1 22 45.730    3.2    31.866170  104.357300     5.3 
 2008  5 19  1 53 10.400    3.0    31.388800  103.775600    13.3 
 2008  5 19  2  1  3.790    3.0    31.236800  103.625400    13.5 
 2008  5 19  2  5 10.170    3.2    31.386370  103.754100    18.7 
 2008  5 19  2 16 20.570    3.3    32.278160  104.660400    13.9 
 2008  5 19  2 18 45.350    3.4    30.983220  103.370200     8.0 
 2008  5 19  2 24 21.950    3.0    31.375860  103.827200    14.8 
 2008  5 19  2 34 59.510    3.0    31.187240  103.492800     8.3 
 2008  5 19  2 39 41.930    3.4    31.012160  103.198500    22.2 
 2008  5 19  3  0 58.220    2.7    32.603380  105.358300    11.2 
 2008  5 19  3 23 58.480    3.0    31.022730  103.367100     8.2 
 2008  5 19  3 28 21.900    3.1    31.355500  103.664500    18.6 
 2008  5 19  3 34  5.830    3.8    32.453640  105.073100    16.3 
 2008  5 19  3 58 44.160    3.2    31.715630  104.128900    12.8 
 2008  5 19  4 22  5.340    3.1    31.005080  103.243300    13.0 
 2008  5 19  4 23 27.110     .0    32.391290  105.015300    16.3 
 2008  5 19  4 34 38.100    3.4    32.020340  104.390800    15.8 
 2008  5 19  4 37  7.610    3.4    31.030950  103.318700    14.4 
 2008  5 19  4 43 53.720    3.1    31.039550  103.321600    13.8 
 2008  5 19  4 48 16.980    3.5    31.379970  103.821500    16.8 
 2008  5 19  4 51 54.860    3.0    31.737630  104.204400    12.3 
 2008  5 19  4 59 48.080    3.5    31.073920  103.403900    12.6 
 2008  5 19  5  2 26.180    3.2    31.023530  103.392700    13.1 
