2019  6 17 22 55 44.040  28.344364  104.902051     5.111    6.10    
2019  6 17 22 57 33.640  28.384696  104.859660     4.817    3.60    
2019  6 17 23  1 21.540  28.383213  104.853857     4.338    2.30    
2019  6 17 23  2 37.280  28.382579  104.843726     2.778    3.70    
2019  6 17 23  3  7.320  28.372786  104.872542     3.046    3.90    
2019  6 17 23  3 59.580  28.386646  104.836027     0.358    3.70    
2019  6 17 23  5  5.020  28.416597  104.788590     0.962    2.60    
2019  6 17 23  5  9.520  28.385411  104.854826     0.855    2.90    
2019  6 17 23  6 31.000  28.393193  104.827686     1.146    1.80    
2019  6 17 23  6 58.700  28.369698  104.874512     3.189    2.00    
2019  6 17 23  7 27.280  28.369965  104.868506     2.785    2.50    
2019  6 17 23  9  1.660  28.385929  104.844385     3.511    4.00    
2019  6 17 23 12 37.480  28.396881  104.842358     1.505    2.00    
2019  6 17 23 14 17.640  28.378695  104.852612     1.432    2.10    
2019  6 17 23 16 22.900  28.432383  104.758634     1.116    2.30    
2019  6 17 23 19 36.280  28.358616  104.875146     1.621    1.70    
2019  6 17 23 21  0.440  28.367145  104.867106     2.999    3.30    
2019  6 17 23 23 16.560  28.417328  104.777401     1.660    2.30    
2019  6 17 23 23 31.560  28.370603  104.892212     3.464    3.60    
2019  6 17 23 24 53.900  28.366254  104.869474     2.913    2.60    
2019  6 17 23 27 11.180  28.416805  104.787801     1.287    2.30    
2019  6 17 23 28 25.620  28.334432  104.932064     2.177    2.50    
2019  6 17 23 30 18.120  28.371515  104.888534     1.304    1.80    
2019  6 17 23 30 39.080  28.396895  104.823560     4.821    2.90    
2019  6 17 23 34 37.840  28.367857  104.876921     1.137    1.60    
2019  6 17 23 36  1.880  28.417615  104.804549     8.490    5.50    
2019  6 17 23 39 29.360  28.404419  104.829395     1.489    2.50    
2019  6 17 23 39 58.640  28.393475  104.829232     1.272    2.40    
2019  6 17 23 40  5.800  28.366128  104.870964     5.487    2.50    
2019  6 17 23 40 47.980  28.407554  104.806307     1.494    2.30    
2019  6 17 23 41 37.280  28.407865  104.805876     2.468    3.50    
2019  6 17 23 44 57.980  28.391437  104.835197     1.509    1.80    
2019  6 17 23 45 49.520  28.410327  104.804272     0.729    3.00    
2019  6 17 23 47 21.120  28.425930  104.760921     4.066    1.90    
2019  6 17 23 47 29.220  28.407719  104.806502     0.860    2.40    
2019  6 17 23 47 55.080  28.419576  104.776839     7.044    2.30    
2019  6 17 23 49 30.480  28.394112  104.826912     1.844    1.60    
2019  6 17 23 50 49.160  28.386794  104.827897     0.806    2.40    
2019  6 17 23 52 29.040  28.428060  104.778735     5.798    2.90    
2019  6 17 23 53 51.520  28.401036  104.809155     0.647    1.90    
2019  6 17 23 55 53.780  28.389880  104.819873     2.258    2.20    
2019  6 17 23 57  3.480  28.412695  104.801302     1.577    2.30    
2019  6 17 23 59 15.680  28.347593  104.910116     0.605    2.20    
2019  6 18  0  2 35.270  28.376029  104.848527     3.749    2.90    
2019  6 18  0  4 58.150  28.380709  104.852865     3.876    1.80    
2019  6 18  0  5 36.730  28.411418  104.786589     0.208    2.30    
2019  6 18  0  9 49.910  28.405393  104.790251     3.575    2.90    
2019  6 18  0 10 55.400  28.412626  104.801538     0.685    2.50    
2019  6 18  0 11 14.310  28.344820  104.885514     1.718    3.20    
2019  6 18  0 11 48.830  28.415383  104.786361     3.033    1.90    
